Format Version,1.22,Take Name,big_mocap_32markers_take1,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,08 Dec 1969 18:52:49 -0500,Total Frames in Take,631,Total Exported Frames,631,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled 27803,Unlabeled 27803,Unlabeled 27803,Unlabeled 27804,Unlabeled 27804,Unlabeled 27804,Unlabeled 27805,Unlabeled 27805,Unlabeled 27805,Unlabeled 27806,Unlabeled 27806,Unlabeled 27806,Unlabeled 27807,Unlabeled 27807,Unlabeled 27807,Unlabeled 27808,Unlabeled 27808,Unlabeled 27808,Unlabeled 27809,Unlabeled 27809,Unlabeled 27809,Unlabeled 27810,Unlabeled 27810,Unlabeled 27810,Unlabeled 27811,Unlabeled 27811,Unlabeled 27811,Unlabeled 27813,Unlabeled 27813,Unlabeled 27813,Unlabeled 27814,Unlabeled 27814,Unlabeled 27814,Unlabeled 27815,Unlabeled 27815,Unlabeled 27815,Unlabeled 27816,Unlabeled 27816,Unlabeled 27816,Unlabeled 27817,Unlabeled 27817,Unlabeled 27817,Unlabeled 27818,Unlabeled 27818,Unlabeled 27818,Unlabeled 27819,Unlabeled 27819,Unlabeled 27819,Unlabeled 27820,Unlabeled 27820,Unlabeled 27820,Unlabeled 27822,Unlabeled 27822,Unlabeled 27822,Unlabeled 27823,Unlabeled 27823,Unlabeled 27823,Unlabeled 27824,Unlabeled 27824,Unlabeled 27824,Unlabeled 27825,Unlabeled 27825,Unlabeled 27825,Unlabeled 27826,Unlabeled 27826,Unlabeled 27826,Unlabeled 27827,Unlabeled 27827,Unlabeled 27827,Unlabeled 27828,Unlabeled 27828,Unlabeled 27828,Unlabeled 27829,Unlabeled 27829,Unlabeled 27829,Unlabeled 27830,Unlabeled 27830,Unlabeled 27830,Unlabeled 27831,Unlabeled 27831,Unlabeled 27831,Unlabeled 27832,Unlabeled 27832,Unlabeled 27832,Unlabeled 27834,Unlabeled 27834,Unlabeled 27834,Unlabeled 27835,Unlabeled 27835,Unlabeled 27835,Unlabeled 27836,Unlabeled 27836,Unlabeled 27836,Unlabeled 27837,Unlabeled 27837,Unlabeled 27837,Unlabeled 27838,Unlabeled 27838,Unlabeled 27838,Unlabeled 27839,Unlabeled 27839,Unlabeled 27839,Unlabeled 27840,Unlabeled 27840,Unlabeled 27840,Unlabeled 27841,Unlabeled 27841,Unlabeled 27841,face:face1,face:face1,face:face1,face:face2,face:face2,face:face2,face:face3,face:face3,face:face3
,,"CE7E0","CE7E0","CE7E0","CE7F0","CE7F0","CE7F0","CE800","CE800","CE800","CE810","CE810","CE810","CE820","CE820","CE820","CE830","CE830","CE830","CE840","CE840","CE840","CE850","CE850","CE850","CE860","CE860","CE860","CE880","CE880","CE880","CE890","CE890","CE890","CE8A0","CE8A0","CE8A0","CE8B0","CE8B0","CE8B0","CE8C0","CE8C0","CE8C0","CE8D0","CE8D0","CE8D0","CE8E0","CE8E0","CE8E0","CE8F0","CE8F0","CE8F0","CE910","CE910","CE910","CE920","CE920","CE920","CE930","CE930","CE930","CE940","CE940","CE940","CE950","CE950","CE950","CE960","CE960","CE960","CE970","CE970","CE970","CE980","CE980","CE980","CEAA0","CEAA0","CEAA0","CEB50","CEB50","CEB50","CEB60","CEB60","CEB60","CEB80","CEB80","CEB80","CEB90","CEB90","CEB90","CECE0","CECE0","CECE0","CECF0","CECF0","CECF0","CED40","CED40","CED40","CED50","CED50","CED50","CED60","CED60","CED60","CED70","CED70","CED70","F1660D6FA7F311E8DAA520E1B9016AD","F1660D6FA7F311E8DAA520E1B9016AD","F1660D6FA7F311E8DAA520E1B9016AD","F1660D71A7F311E8DAA520E1B9016AD","F1660D71A7F311E8DAA520E1B9016AD","F1660D71A7F311E8DAA520E1B9016AD","F1660D73A7F311E8DAA520E1B9016AD","F1660D73A7F311E8DAA520E1B9016AD","F1660D73A7F311E8DAA520E1B9016AD"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.105625,1.296957,-0.280964,0.102179,1.323141,-0.239966,0.101885,1.311598,-0.307925,0.101313,1.331771,-0.266166,0.098876,1.278118,-0.224499,0.088246,1.364567,-0.253359,0.082901,1.346222,-0.356037,0.079399,1.378525,-0.311878,0.078831,1.313488,-0.189588,0.072228,1.387220,-0.297229,0.058230,1.388075,-0.242824,0.053298,1.271510,-0.181180,0.053061,1.367754,-0.202294,0.023257,1.380208,-0.208663,0.021811,1.352306,-0.181401,0.021378,1.396526,-0.242036,0.020940,1.393497,-0.352104,0.020245,1.404897,-0.315202,0.019845,1.313238,-0.170310,0.019752,1.404922,-0.275318,0.019564,1.372099,-0.378198,0.018397,1.238043,-0.189232,0.018148,1.273900,-0.173655,-0.005456,1.371345,-0.201094,-0.015960,1.390790,-0.241849,-0.047448,1.373063,-0.252745,-0.016950,1.274615,-0.178733,-0.028816,1.393735,-0.272990,-0.039923,1.320901,-0.188484,-0.043538,1.350900,-0.354962,-0.052237,1.366267,-0.312925,-0.055072,1.347941,-0.228899,-0.063305,1.266749,-0.231811,-0.063947,1.340595,-0.266100,-0.065095,1.317750,-0.306961,-0.070028,1.305821,-0.279288,0.075436,1.283775,-0.385498,0.020346,1.345469,-0.395530,-0.037679,1.285116,-0.389613
1,0.004167,0.105623,1.296960,-0.280961,0.102173,1.323129,-0.239955,0.101885,1.311578,-0.307923,0.101313,1.331762,-0.266168,0.098873,1.278128,-0.224498,0.088243,1.364565,-0.253359,0.082895,1.346223,-0.356040,0.079398,1.378533,-0.311871,0.078829,1.313487,-0.189592,0.072228,1.387225,-0.297229,0.058234,1.388076,-0.242825,0.053301,1.271524,-0.181173,0.053063,1.367761,-0.202293,0.023255,1.380217,-0.208667,0.021810,1.352302,-0.181400,0.021376,1.396528,-0.242037,0.020937,1.393507,-0.352107,0.020244,1.404896,-0.315203,0.019846,1.313239,-0.170311,0.019751,1.404925,-0.275317,0.019563,1.372105,-0.378197,0.018404,1.238034,-0.189239,0.018152,1.273890,-0.173660,-0.005457,1.371344,-0.201094,-0.015960,1.390793,-0.241846,-0.047450,1.373062,-0.252736,-0.016951,1.274619,-0.178733,-0.028821,1.393735,-0.272983,-0.039931,1.320894,-0.188489,-0.043539,1.350907,-0.354957,-0.052237,1.366266,-0.312920,-0.055073,1.347948,-0.228899,-0.063313,1.266771,-0.231812,-0.063950,1.340604,-0.266094,-0.065096,1.317761,-0.306959,-0.070028,1.305823,-0.279287,0.075437,1.283784,-0.385500,0.020342,1.345469,-0.395529,-0.037676,1.285105,-0.389615
2,0.008333,0.105622,1.296947,-0.280958,0.102179,1.323144,-0.239960,0.101880,1.311586,-0.307928,0.101318,1.331778,-0.266163,0.098876,1.278128,-0.224511,0.088243,1.364568,-0.253360,0.082899,1.346223,-0.356042,0.079402,1.378531,-0.311878,0.078829,1.313496,-0.189589,0.072230,1.387219,-0.297228,0.058230,1.388082,-0.242823,0.053305,1.271522,-0.181176,0.053058,1.367757,-0.202293,0.023258,1.380220,-0.208666,0.021810,1.352313,-0.181400,0.021381,1.396526,-0.242034,0.020936,1.393507,-0.352104,0.020243,1.404890,-0.315201,0.019842,1.313248,-0.170306,0.019753,1.404924,-0.275314,0.019563,1.372095,-0.378193,0.018399,1.238040,-0.189235,0.018145,1.273899,-0.173660,-0.005457,1.371344,-0.201098,-0.015966,1.390790,-0.241847,-0.047448,1.373070,-0.252741,-0.016945,1.274610,-0.178740,-0.028819,1.393727,-0.272994,-0.039926,1.320899,-0.188487,-0.043534,1.350917,-0.354957,-0.052241,1.366276,-0.312926,-0.055071,1.347944,-0.228899,-0.063307,1.266761,-0.231811,-0.063949,1.340596,-0.266093,-0.065092,1.317753,-0.306964,-0.070026,1.305819,-0.279292,0.075436,1.283781,-0.385506,0.020345,1.345466,-0.395532,-0.037682,1.285110,-0.389610
3,0.012500,0.105622,1.296958,-0.280959,0.102179,1.323136,-0.239952,0.101889,1.311589,-0.307929,0.101320,1.331774,-0.266170,0.098880,1.278126,-0.224503,0.088244,1.364563,-0.253357,0.082899,1.346222,-0.356037,0.079400,1.378527,-0.311874,0.078831,1.313491,-0.189588,0.072228,1.387215,-0.297231,0.058236,1.388078,-0.242829,0.053306,1.271509,-0.181183,0.053061,1.367763,-0.202292,0.023255,1.380210,-0.208669,0.021812,1.352307,-0.181402,0.021378,1.396520,-0.242034,0.020938,1.393496,-0.352101,0.020247,1.404890,-0.315202,0.019846,1.313244,-0.170307,0.019752,1.404936,-0.275307,0.019568,1.372090,-0.378196,0.018406,1.238052,-0.189233,0.018152,1.273876,-0.173663,-0.005449,1.371344,-0.201093,-0.015958,1.390785,-0.241847,-0.047446,1.373066,-0.252743,-0.016948,1.274605,-0.178742,-0.028819,1.393731,-0.272985,-0.039924,1.320902,-0.188485,-0.043534,1.350909,-0.354958,-0.052240,1.366267,-0.312928,-0.055069,1.347939,-0.228901,-0.063305,1.266753,-0.231812,-0.063949,1.340597,-0.266099,-0.065098,1.317762,-0.306952,-0.070028,1.305828,-0.279289,0.075435,1.283786,-0.385503,0.020345,1.345464,-0.395532,-0.037674,1.285116,-0.389610
4,0.016667,0.105618,1.296952,-0.280956,0.102179,1.323131,-0.239961,0.101879,1.311592,-0.307932,0.101311,1.331758,-0.266167,0.098876,1.278134,-0.224502,0.088242,1.364565,-0.253356,0.082898,1.346219,-0.356038,0.079400,1.378531,-0.311874,0.078830,1.313491,-0.189586,0.072227,1.387218,-0.297228,0.058233,1.388086,-0.242827,0.053299,1.271500,-0.181186,0.053055,1.367756,-0.202293,0.023256,1.380216,-0.208665,0.021812,1.352300,-0.181400,0.021378,1.396524,-0.242038,0.020938,1.393496,-0.352107,0.020246,1.404893,-0.315204,0.019844,1.313234,-0.170309,0.019755,1.404926,-0.275314,0.019566,1.372102,-0.378197,0.018404,1.238049,-0.189235,0.018150,1.273897,-0.173657,-0.005457,1.371332,-0.201092,-0.015964,1.390790,-0.241847,-0.047443,1.373057,-0.252743,-0.016952,1.274610,-0.178741,-0.028818,1.393730,-0.272987,-0.039925,1.320900,-0.188488,-0.043535,1.350907,-0.354962,-0.052240,1.366267,-0.312928,-0.055072,1.347939,-0.228897,-0.063309,1.266750,-0.231809,-0.063949,1.340590,-0.266096,-0.065097,1.317759,-0.306962,-0.070026,1.305812,-0.279289,0.075436,1.283789,-0.385499,0.020341,1.345469,-0.395526,-0.037679,1.285124,-0.389610
5,0.020833,0.105621,1.296959,-0.280961,0.102180,1.323140,-0.239962,0.101879,1.311579,-0.307933,0.101315,1.331776,-0.266166,0.098886,1.278150,-0.224498,0.088241,1.364565,-0.253357,0.082898,1.346231,-0.356036,0.079401,1.378532,-0.311878,0.078831,1.313496,-0.189586,0.072226,1.387219,-0.297233,0.058231,1.388078,-0.242825,0.053302,1.271502,-0.181185,0.053059,1.367769,-0.202292,0.023252,1.380216,-0.208664,0.021806,1.352312,-0.181398,0.021375,1.396520,-0.242035,0.020935,1.393499,-0.352105,0.020248,1.404899,-0.315203,0.019843,1.313239,-0.170309,0.019753,1.404921,-0.275317,0.019566,1.372100,-0.378198,0.018401,1.238038,-0.189237,0.018148,1.273895,-0.173661,-0.005458,1.371345,-0.201093,-0.015962,1.390795,-0.241849,-0.047448,1.373065,-0.252740,-0.016949,1.274610,-0.178733,-0.028816,1.393728,-0.272990,-0.039925,1.320901,-0.188489,-0.043536,1.350918,-0.354958,-0.052242,1.366265,-0.312923,-0.055076,1.347942,-0.228899,-0.063307,1.266747,-0.231816,-0.063949,1.340593,-0.266103,-0.065094,1.317752,-0.306961,-0.070027,1.305829,-0.279289,0.075435,1.283788,-0.385500,0.020339,1.345474,-0.395527,-0.037683,1.285111,-0.389611
