Format Version,1.22,Take Name,big_HJH2_fullset_Ground_FID_clean,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,08 Dec 1969 22:54:33 -0500,Total Frames in Take,6822,Total Exported Frames,6822,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Measurement Probe,Measurement Probe,Measurement Probe,Measurement Probe,Measurement Probe,Measurement Probe,Measurement Probe,"Measurement Probe:Marker1","Measurement Probe:Marker1","Measurement Probe:Marker1","Measurement Probe:Marker2","Measurement Probe:Marker2","Measurement Probe:Marker2","Measurement Probe:Marker3","Measurement Probe:Marker3","Measurement Probe:Marker3","Measurement Probe:Marker4","Measurement Probe:Marker4","Measurement Probe:Marker4",Measurement Probe:Marker1,Measurement Probe:Marker1,Measurement Probe:Marker1,Measurement Probe:Marker2,Measurement Probe:Marker2,Measurement Probe:Marker2,Measurement Probe:Marker3,Measurement Probe:Marker3,Measurement Probe:Marker3,Measurement Probe:Marker4,Measurement Probe:Marker4,Measurement Probe:Marker4,Unlabeled 36562,Unlabeled 36562,Unlabeled 36562,Unlabeled 36563,Unlabeled 36563,Unlabeled 36563,Unlabeled 36564,Unlabeled 36564,Unlabeled 36564,Unlabeled 36565,Unlabeled 36565,Unlabeled 36565,Unlabeled 36566,Unlabeled 36566,Unlabeled 36566,face:face1,face:face1,face:face1,face:face2,face:face2,face:face2,face:face3,face:face3,face:face3
,,"46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","46F15A955E1A11E8DAA520E1B900DB0","D1830","D1830","D1830","D1870","D1870","D1870","D37207D2644011E8DAA520E1B90F7BF","D37207D2644011E8DAA520E1B90F7BF","D37207D2644011E8DAA520E1B90F7BF","D1850","D1850","D1850","D20A0","D20A0","D20A0","D2090","D2090","D2090","D2080","D2080","D2080","D2070","D2070","D2070","D2060","D2060","D2060","DB60CF91644011E8DAA520E1B90F7BF","DB60CF91644011E8DAA520E1B90F7BF","DB60CF91644011E8DAA520E1B90F7BF","E1A504B5644011E8DAA520E1B90F7BF","E1A504B5644011E8DAA520E1B90F7BF","E1A504B5644011E8DAA520E1B90F7BF","E1A504B7644011E8DAA520E1B90F7BF","E1A504B7644011E8DAA520E1B90F7BF","E1A504B7644011E8DAA520E1B90F7BF"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.075676,-0.330410,-0.940770,0.007343,-0.040304,1.365815,-0.279559,-0.057411,1.457507,-0.193136,-0.063983,1.488461,-0.154673,-0.103206,1.517330,-0.120723,-0.050982,1.542412,-0.086213,-0.057367,1.457533,-0.193100,-0.064060,1.488418,-0.154732,-0.095582,1.518332,-0.119448,-0.050949,1.542428,-0.086191,,,,,,,,,,,,,,,,-0.063019,1.287374,-0.475084,-0.007417,1.358973,-0.472055,0.048350,1.284103,-0.471072
1,0.004167,0.075768,-0.330390,-0.940770,0.007361,-0.040286,1.365833,-0.279561,-0.057415,1.457520,-0.193137,-0.063996,1.488473,-0.154674,-0.103228,1.517337,-0.120730,-0.051011,1.542423,-0.086211,-0.057374,1.457548,-0.193100,-0.064070,1.488427,-0.154735,-0.095602,1.518337,-0.119450,-0.050980,1.542440,-0.086187,,,,,,,,,,,,,,,,-0.063019,1.287374,-0.475074,-0.007415,1.358988,-0.472044,0.048357,1.284113,-0.471065
2,0.008333,0.075764,-0.330338,-0.940786,0.007686,-0.040254,1.365858,-0.279576,-0.057420,1.457529,-0.193143,-0.064012,1.488475,-0.154676,-0.103254,1.517313,-0.120722,-0.051044,1.542429,-0.086212,-0.057378,1.457554,-0.193109,-0.064086,1.488431,-0.154736,-0.095626,1.518345,-0.119462,-0.051013,1.542448,-0.086187,,,,,,,,,,,,,,,,-0.063012,1.287380,-0.475063,-0.007412,1.358981,-0.472043,0.048364,1.284118,-0.471055
3,0.012500,0.075892,-0.330336,-0.940777,0.007628,-0.040242,1.365872,-0.279575,-0.057430,1.457543,-0.193146,-0.064031,1.488489,-0.154681,-0.103282,1.517328,-0.120737,-0.051082,1.542442,-0.086213,-0.057388,1.457569,-0.193111,-0.064105,1.488446,-0.154740,-0.095649,1.518344,-0.119465,-0.051051,1.542459,-0.086190,,,,,,,,,,,,,,,,-0.063010,1.287387,-0.475058,-0.007407,1.358978,-0.472034,0.048362,1.284111,-0.471049
4,0.016667,0.076125,-0.330309,-0.940769,0.007327,-0.040230,1.365888,-0.279581,-0.057436,1.457559,-0.193154,-0.064050,1.488503,-0.154691,-0.103310,1.517355,-0.120769,-0.051122,1.542444,-0.086210,-0.057392,1.457587,-0.193116,-0.064128,1.488458,-0.154752,-0.095682,1.518346,-0.119477,-0.051089,1.542460,-0.086188,,,,,,,,,,,,,,,,-0.063003,1.287387,-0.475052,-0.007402,1.358984,-0.472023,0.048370,1.284120,-0.471045
5,0.020833,0.076151,-0.330213,-0.940798,0.007665,-0.040191,1.365921,-0.279610,-0.057443,1.457567,-0.193166,-0.064070,1.488502,-0.154697,-0.103344,1.517322,-0.120764,-0.051166,1.542441,-0.086210,-0.057399,1.457594,-0.193130,-0.064146,1.488460,-0.154754,-0.095716,1.518340,-0.119486,-0.051134,1.542456,-0.086190,,,,,,,,,,,,,,,,-0.062986,1.287372,-0.475046,-0.007395,1.358985,-0.472019,0.048375,1.284111,-0.471039
6,0.025000,0.076148,-0.330114,-0.940830,0.008116,-0.040146,1.365961,-0.279634,-0.057450,1.457580,-0.193172,-0.064092,1.488503,-0.154696,-0.103380,1.517285,-0.120747,-0.051213,1.542444,-0.086206,-0.057408,1.457608,-0.193134,-0.064168,1.488458,-0.154758,-0.095751,1.518333,-0.119496,-0.051181,1.542462,-0.086182,,,,,,,,,,,,,,,,-0.062992,1.287382,-0.475044,-0.007393,1.358985,-0.472016,0.048380,1.284118,-0.471037
7,0.029167,0.076454,-0.330115,-0.940808,0.007682,-0.040132,1.365961,-0.279635,-0.057454,1.457586,-0.193184,-0.064110,1.488511,-0.154712,-0.103410,1.517315,-0.120795,-0.051258,1.542441,-0.086207,-0.057411,1.457614,-0.193145,-0.064186,1.488468,-0.154771,-0.095790,1.518321,-0.119510,-0.051226,1.542455,-0.086187,,,,,,,,,,,,,,,,-0.062986,1.287390,-0.475034,-0.007386,1.358989,-0.472011,0.048377,1.284112,-0.471038
8,0.033333,0.076509,-0.330043,-0.940827,0.007917,-0.040101,1.365986,-0.279661,-0.057463,1.457592,-0.193198,-0.064132,1.488510,-0.154723,-0.103444,1.517291,-0.120801,-0.051302,1.542438,-0.086213,-0.057420,1.457623,-0.193157,-0.064208,1.488463,-0.154786,-0.095822,1.518309,-0.119526,-0.051270,1.542454,-0.086191,,,,,,,,,,,,,,,,-0.062986,1.287382,-0.475032,-0.007380,1.358988,-0.472007,0.048385,1.284113,-0.471026
